Country Name,China,India,United States
1960,,,
1961,,,
1962,,,
1963,,,
1964,,,
1965,,,
1966,,,
1967,,,
1968,,,
1969,,,
1970,,,0.244106278
1971,,,-0.084131004
1972,,,-0.411223429
1973,,,0.531789507
1974,,,0.110015059
1975,,-0.149804626,1.061188056
1976,,1.537101815,0.204973599
1977,,1.744416029,-0.725324787
1978,,0.504279978,-0.669629473
1979,,0.03290178,-0.005964223
1980,,-0.958069194,0.074440723
1981,,-1.394554633,0.149982492
1982,2.766594326,-1.257276246,-0.347121185
1983,1.837990284,-0.887437672,-1.216883258
1984,0.780929889,-1.089314216,-2.452141897
1985,-3.688995684,-1.780805001,-2.868301506
1986,-2.338756628,-1.83452056,-3.213665031
1987,0.109900989,-1.853242437,-3.308751518
1988,-1.217210117,-2.408461745,-2.315658087
1989,-1.241344621,-2.301281981,-1.763796667
1990,3.324577232,-2.191935869,-1.323999555
1991,3.461899766,-1.588911312,0.046296529
1992,1.499359197,-1.556243036,-0.791448803
1993,-2.610340324,-0.67161797,-1.23616054
1994,1.224118024,-0.51219266,-1.669252924
1995,0.220324638,-1.544131627,-1.486449358
1996,0.838556009,-1.515954247,-1.544967362
1997,3.843890189,-0.713014,-1.640613309
1998,3.058375308,-1.63832471,-2.372738757
1999,1.930077947,-0.703548206,-2.975981801
2000,1.693848601,-0.982343806,-3.920886147
2001,1.299167957,0.290494936,-3.724074988
2002,2.408758466,1.370941111,-4.17333961
2003,2.593019028,1.443561063,-4.558980861
2004,3.525766041,0.110018664,-5.204853436
2005,5.79092165,-1.253507315,-5.745981704
2006,8.424125738,-0.988988303,-5.911019221
2007,9.947847388,-0.663718193,-5.088727742
2008,9.154122986,-2.583376538,-4.71586121
2009,4.768144371,-1.951464148,-2.622836696
2010,3.906751888,-3.253484046,-2.870642705
2011,1.802248021,-3.429288264,-2.918621379
2012,2.524448448,-5.004888981,-2.572368121
2013,1.54856488,-2.645666243,-2.01538414
2014,2.253281048,-1.33950833,-2.108055052
2015,2.649016055,-1.067549349,-2.243472123
2016,1.703305668,-0.527880354,-2.119372297
2017,1.532655174,-1.439488918,-1.853528582
2018,0.173668413,-2.426975389,-2.14216029
2019,0.720660549,-1.051114806,-2.085756036
2020,1.694180071,1.226906939,-2.942488433
2021,1.789217716,-1.052243531,-3.630071094
