Country Name,China,India,United States
1960,,,
1961,,,
1962,,,
1963,,,
1964,,,
1965,,,
1966,,,
1967,,,
1968,,,
1969,,,
1970,,,0.604675474
1971,,,0.482465554
1972,,,0.573054702
1973,,,0.655265698
1974,,,0.333928062
1975,,0,0.814883222
1976,,0,0.604245089
1977,,0,0.541832026
1978,,0,0.611073572
1979,,0,0.940878069
1980,,0.002146783,0.666361718
1981,,0.001033642,0.315243865
1982,0.021454027,0.000498219,0.232490746
1983,0.04031441,0.002290822,0.241329342
1984,0.051549067,0.001885385,0.317514333
1985,0.203238879,0.001290257,0.084812579
1986,0.149621905,-0.000401629,0.426322557
1987,0.236287127,0.001791899,0.819675339
1988,0.272127459,0.003708836,0.414422934
1989,0.224287423,0.003377895,0.90364756
1990,0.230007427,0.001869281,1.005174452
1991,0.238149072,-0.004072485,0.800080674
1992,0.936953099,0.008327307,0.901335163
1993,0.98936148,0.000125544,1.207250678
1994,0.354405913,0.025233567,1.234898938
1995,0.272276322,0.032527047,1.440623246
1996,0.244747674,0.060912828,1.276086253
1997,0.391533332,0.02715262,1.415088655
1998,0.439923266,0.011295327,1.9283185
1999,0.368922311,0.017295973,2.5696243
2000,0.380733225,0.108782767,1.818075753
2001,0.723908541,0.217149393,1.380097989
2002,0.427326487,0.244897685,1.637690092
2003,0.509314282,0.203693879,1.704001987
2004,0.407733343,0.259051931,3.061292344
2005,0.600602413,0.321893491,0.403329984
2006,0.869587667,1.492867398,2.054208779
2007,0.483187145,1.39932736,3.619467923
2008,1.23505626,1.606188857,2.32624445
2009,0.860300666,1.199474211,2.159107598
2010,0.952062415,0.952969273,2.324598488
2011,0.641205592,0.691588004,2.798869292
2012,0.761388132,0.467994117,2.320909589
2013,0.762463765,0.09505724,2.332075912
2014,1.175384509,0.573111845,2.208056874
2015,1.576547892,0.357212358,1.659181895
2016,1.926636988,0.219944965,1.603708063
2017,1.123380739,0.418263755,2.101996846
2018,1.029351959,0.422422731,-0.636631935
2019,0.958757698,0.464081218,0.494257135
2020,1.046597368,0.416940355,1.290555023
2021,0.72198561,0.542730889,1.808915045
