Country Name,China,India,United States
1960,,,
1961,,,
1962,,,
1963,,,
1964,,,
1965,,,
1966,,,
1967,,,
1968,,,
1969,,,
1970,,0.072826324,0.113667809
1971,,0.070763624,0.066102932
1972,,0.024893933,0.099287786
1973,,0.044331264,0.135402869
1974,,0.057241382,0.229090182
1975,,-0.010486395,0.137099799
1976,,-0.007502573,0.155331555
1977,,-0.029682109,0.140261482
1978,,0.0131755,0.233883413
1979,4.49E-05,0.03174683,0.306394355
1980,0.029819636,0.042484827,0.585866342
1981,0.135296316,0.047506181,0.800738126
1982,0.209664357,0.03591159,0.634908483
1983,0.275698543,0.002584047,0.316452387
1984,0.483945715,0.009068703,0.624874152
1985,0.536046583,0.045627777,0.221941613
1986,0.623424606,0.047283784,0.675731298
1987,0.847702965,0.076091199,1.302414002
1988,1.022558946,0.030766482,1.086807482
1989,0.97565029,0.085156734,1.343240723
1990,0.966308311,0.073740021,1.194504107
1991,1.138837732,0.02722554,0.561047032
1992,2.613162193,0.095941829,0.464853987
1993,6.186882076,0.197056163,0.732369584
1994,5.987156294,0.297385909,0.767643589
1995,4.88044416,0.594986258,0.904218188
1996,4.651826651,0.617479056,1.209693103
1997,4.725334152,0.860208566,1.424065573
1998,4.435577102,0.625285966,2.329849229
1999,3.74900388,0.472644846,3.244142242
2000,3.475082246,0.765212649,3.405782569
2001,3.51300212,1.056378305,1.630099648
2002,3.609099885,1.011571805,1.016139191
2003,3.48740331,0.605889255,1.02218472
2004,3.483641114,0.765601405,1.748691345
2005,4.554254034,0.88610072,1.091662133
2006,4.508579016,2.130168425,2.160335287
2007,4.40096483,2.073395746,2.394690938
2008,3.73363489,3.620521897,2.309379021
2009,2.568888291,2.651593127,1.112600342
2010,4.0035629,1.635034274,1.754532686
2011,3.708828902,2.002065552,1.689112771
2012,2.827090556,1.312934337,1.540208119
2013,3.039875469,1.516275965,1.710667534
2014,2.559233447,1.695658786,1.435021307
2015,2.192181603,2.092115758,2.809147629
2016,1.55564215,1.937363198,2.537497659
2017,1.349132679,1.507316581,1.955210863
2018,1.693905294,1.558214793,1.045703992
2019,1.310718778,1.787381739,1.47207498
2020,1.723183793,2.41266468,0.707068619
2021,1.883262938,1.408158771,1.922892777
