Country Name,China,India,United States
1960,59716467625,37029883876,5.433E+11
1961,50056868958,39232435784,5.633E+11
1962,47209359006,42161481858,6.051E+11
1963,50706799903,48421923459,6.386E+11
1964,59708343489,56480289941,6.858E+11
1965,70436266147,59554854576,7.437E+11
1966,76720285970,45865462034,8.15E+11
1967,72881631327,50134942204,8.617E+11
1968,70846535056,53085455871,9.425E+11
1969,79705906247,58447995017,1.0199E+12
1970,92602973434,62422483055,1.0733E+12
1971,99800958648,67350988021,1.16485E+12
1972,1.13688E+11,71463193831,1.27911E+12
1973,1.38544E+11,85515269585,1.42538E+12
1974,1.44182E+11,99525899116,1.54524E+12
1975,1.63432E+11,98472796457,1.6849E+12
1976,1.5394E+11,1.02717E+11,1.87341E+12
1977,1.74938E+11,1.21487E+11,2.08183E+12
1978,1.49541E+11,1.373E+11,2.3516E+12
1979,1.78281E+11,1.52992E+11,2.62733E+12
1980,1.91149E+11,1.86325E+11,2.85731E+12
1981,1.95866E+11,1.93491E+11,3.20704E+12
1982,2.0509E+11,2.00715E+11,3.34379E+12
1983,2.30687E+11,2.18262E+11,3.63404E+12
1984,2.59947E+11,2.12158E+11,4.03761E+12
1985,3.09488E+11,2.32512E+11,4.33898E+12
1986,3.00758E+11,2.48986E+11,4.57963E+12
1987,2.72973E+11,2.79034E+11,4.85522E+12
1988,3.12354E+11,2.96589E+11,5.23644E+12
1989,3.47768E+11,2.96042E+11,5.64158E+12
1990,3.60858E+11,3.20979E+11,5.96314E+12
1991,3.83373E+11,2.70105E+11,6.15813E+12
1992,4.26916E+11,2.88208E+11,6.52033E+12
1993,4.44731E+11,2.79296E+11,6.85856E+12
1994,5.64325E+11,3.27276E+11,7.28724E+12
1995,7.34548E+11,3.60282E+11,7.63975E+12
1996,8.63747E+11,3.92897E+11,8.07312E+12
1997,9.61604E+11,4.15868E+11,8.57755E+12
1998,1.02904E+12,4.21351E+11,9.06282E+12
1999,1.094E+12,4.5882E+11,9.63117E+12
2000,1.21135E+12,4.68395E+11,1.02509E+13
2001,1.3394E+12,4.85441E+11,1.05819E+13
2002,1.47055E+12,5.14938E+11,1.09291E+13
2003,1.66029E+12,6.07699E+11,1.14564E+13
2004,1.95535E+12,7.09149E+11,1.22172E+13
2005,2.28597E+12,8.20382E+11,1.30392E+13
2006,2.75213E+12,9.4026E+11,1.38156E+13
2007,3.55034E+12,1.21674E+12,1.44742E+13
2008,4.59431E+12,1.1989E+12,1.47699E+13
2009,5.1017E+12,1.34189E+12,1.44781E+13
2010,6.08716E+12,1.67562E+12,1.5049E+13
2011,7.5515E+12,1.82305E+12,1.55997E+13
2012,8.53223E+12,1.82764E+12,1.6254E+13
2013,9.57041E+12,1.85672E+12,1.68432E+13
2014,1.04757E+13,2.03913E+12,1.75507E+13
2015,1.10616E+13,2.10359E+12,1.8206E+13
2016,1.12333E+13,2.2948E+12,1.86951E+13
2017,1.23104E+13,2.65147E+12,1.94773E+13
2018,1.38948E+13,2.70293E+12,2.05331E+13
2019,1.42799E+13,2.83155E+12,2.1381E+13
2020,1.46877E+13,2.66769E+12,2.10605E+13
2021,1.77341E+13,3.1763E+12,2.33151E+13
